param_model__C,param_model__class_weight,param_model__gamma,rank_test_recall_condition_1,mean_test_recall_condition_1,std_test_recall_condition_1,mean_test_neg_medical_cost,std_test_neg_medical_cost,mean_test_roc_auc,std_test_roc_auc,mean_train_recall_condition_1,mean_train_neg_medical_cost,mean_train_roc_auc,params,mean_test_medical_cost,std_test_medical_cost,mean_train_medical_cost
100.0,balanced,0.1,18,0.7868398268398268,0.08922186094019435,-0.5903280141843972,0.19406442042219935,0.8699583083583083,0.04020661663544799,1.0,0.0,1.0,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__gamma': 0.1}",0.5903280141843972,0.19406442042219935,-0.0
0.1,,0.1,23,0.721861471861472,0.09583368471291068,-0.7093439716312057,0.2274954156718386,0.8962319014319015,0.051018123853404596,0.7784195402298851,-0.5566360345307714,0.9270980606991556,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 0.1}",0.7093439716312057,0.2274954156718386,0.5566360345307714
0.1,,scale,24,0.72004329004329,0.09571369833062056,-0.713590425531915,0.22699464207317332,0.8961944721944722,0.05121484026228854,0.7788793103448276,-0.5552620439988861,0.9279581531357611,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale'}",0.713590425531915,0.22699464207317332,0.5552620439988861
1.0,balanced,1.0,25,0.46272727272727265,0.15936457305944063,-1.2984042553191488,0.33939895126356373,0.8416836496836497,0.05119356033051507,1.0,0.0,1.0,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 1.0}",1.2984042553191488,0.33939895126356373,-0.0
10.0,,1.0,26,0.30562770562770564,0.08061601065710117,-1.623359929078014,0.19628997424565958,0.8387128871128872,0.051378223935996066,1.0,0.0,1.0,"{'model__C': 10.0, 'model__class_weight': None, 'model__gamma': 1.0}",1.623359929078014,0.19628997424565958,-0.0
10.0,balanced,1.0,26,0.30562770562770564,0.08061601065710117,-1.623359929078014,0.19628997424565958,0.8387128871128872,0.051378223935996066,1.0,0.0,1.0,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__gamma': 1.0}",1.623359929078014,0.19628997424565958,-0.0
100.0,,1.0,26,0.30562770562770564,0.08061601065710117,-1.623359929078014,0.19628997424565958,0.8387128871128872,0.051378223935996066,1.0,0.0,1.0,"{'model__C': 100.0, 'model__class_weight': None, 'model__gamma': 1.0}",1.623359929078014,0.19628997424565958,-0.0
100.0,balanced,1.0,26,0.30562770562770564,0.08061601065710117,-1.623359929078014,0.19628997424565958,0.8387128871128872,0.051378223935996066,1.0,0.0,1.0,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__gamma': 1.0}",1.623359929078014,0.19628997424565958,-0.0
1.0,,1.0,30,0.21865800865800866,0.08255978750893869,-1.8139627659574469,0.20015169010021458,0.8406417582417582,0.05196233633470381,1.0,0.0,1.0,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 1.0}",1.8139627659574469,0.20015169010021458,-0.0
0.1,,0.01,31,0.09567099567099566,0.08298149145977653,-2.0812943262411348,0.20145055026982148,0.890623643023643,0.05280775530152227,0.12357628004179728,-2.015468671679198,0.9033789198131494,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 0.01}",2.0812943262411348,0.20145055026982148,2.015468671679198
0.1,,1.0,32,0.0,0.0,-2.2996453900709217,0.03938804945305518,0.8427525807525807,0.05151231529885546,0.0,-2.299582289055973,1.0,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 1.0}",2.2996453900709217,0.03938804945305518,2.299582289055973
