param_model__C,param_model__class_weight,param_model__penalty,param_model__solver,rank_test_recall_condition_1,mean_test_recall_condition_1,std_test_recall_condition_1,mean_test_neg_medical_cost,std_test_neg_medical_cost,mean_test_roc_auc,std_test_roc_auc,mean_train_recall_condition_1,mean_train_neg_medical_cost,mean_train_roc_auc,params,mean_test_medical_cost,std_test_medical_cost,mean_train_medical_cost
0.1,,l2,liblinear,21,0.8135930735930736,0.07795771190995805,-0.4878812056737589,0.18638605374668193,0.9176313020313022,0.0415127168389275,0.8387591431556949,-0.4200233918128655,0.9373471737103602,"{'model__C': 0.1, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.4878812056737589,0.18638605374668193,0.4200233918128655
100.0,,l2,lbfgs,22,0.812987012987013,0.07816820196588564,-0.5031028368794326,0.18554064438222354,0.9082620712620714,0.040618095576211835,0.8678918495297805,-0.3492720690615427,0.9513467914836344,"{'model__C': 100.0, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.5031028368794326,0.18554064438222354,0.3492720690615427
100.0,,l1,liblinear,22,0.812987012987013,0.07816820196588564,-0.5047872340425531,0.18847832556766922,0.9076464202464202,0.04120311488995096,0.866974921630094,-0.35148538011695907,0.9513313223910863,"{'model__C': 100.0, 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.5047872340425531,0.18847832556766922,0.35148538011695907
0.1,,l2,lbfgs,24,0.8045021645021645,0.08157898106273483,-0.5077216312056738,0.19593825327189607,0.9177756909756909,0.041198290358050546,0.8348563218390804,-0.42762573099415213,0.9374568343889078,"{'model__C': 0.1, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.5077216312056738,0.19593825327189607,0.42762573099415213
0.1,balanced,l1,liblinear,25,0.7658008658008657,0.07610557055813948,-0.6118351063829788,0.1887846491933675,0.8975111222111221,0.04876613106196257,0.7905799373040752,-0.5460033416875522,0.9176768690021585,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.6118351063829788,0.1887846491933675,0.5460033416875522
0.01,,l2,liblinear,26,0.7522077922077922,0.08259808325565608,-0.6487854609929077,0.20227894615945155,0.8944146520146521,0.051513670363655104,0.7756792058516198,-0.5856675020885548,0.9100314688068977,"{'model__C': 0.01, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.6487854609929077,0.20227894615945155,0.5856675020885548
0.1,,l1,liblinear,27,0.7311688311688311,0.07738511477316545,-0.6774290780141844,0.19551261426028912,0.8977048618048618,0.04945259659915524,0.7522884012539184,-0.6209122807017544,0.9171781548773145,"{'model__C': 0.1, 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.6774290780141844,0.19551261426028912,0.6209122807017544
0.01,,l2,lbfgs,28,0.6806926406926407,0.08711010926536072,-0.7875531914893618,0.21043686863953456,0.8952392274392276,0.051570690720031814,0.7020402298850574,-0.7291072124756336,0.9107295893116557,"{'model__C': 0.01, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7875531914893618,0.21043686863953456,0.7291072124756336
0.01,,l1,liblinear,29,0.0,0.0,-2.2996453900709217,0.03938804945305518,0.5,0.0,0.0,-2.299582289055973,0.5,"{'model__C': 0.01, 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",2.2996453900709217,0.03938804945305518,2.299582289055973
0.01,balanced,l1,liblinear,29,0.0,0.0,-2.2996453900709217,0.03938804945305518,0.5,0.0,0.0,-2.299582289055973,0.5,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",2.2996453900709217,0.03938804945305518,2.299582289055973
